iter	Passed	Remaining
416	2322	3246
417	2327	3240
418	2333	3235
419	2337	3228
420	2342	3221
421	2347	3215
422	2351	3207
423	2355	3200
424	2360	3193
425	2366	3188
426	2370	3181
427	2375	3174
428	2380	3168
429	2384	3161
430	2389	3153
431	2393	3146
432	2398	3140
433	2402	3133
434	2407	3127
435	2413	3121
436	2417	3114
437	2421	3107
438	2425	3100
439	2431	3094
440	2435	3087
441	2441	3081
442	2445	3075
443	2450	3068
444	2455	3062
445	2459	3054
446	2464	3049
447	2469	3043
448	2474	3036
449	2479	3030
450	2484	3023
451	2489	3018
452	2493	3011
453	2497	3004
454	2502	2996
455	2506	2990
456	2512	2985
457	2516	2978
458	2521	2972
459	2526	2965
460	2530	2958
461	2534	2951
462	2539	2945
463	2544	2939
464	2548	2932
465	2554	2927
466	2560	2922
467	2567	2918
468	2574	2914
469	2580	2910
470	2587	2905
471	2594	2902
472	2598	2895
473	2604	2890
474	2610	2885
475	2615	2879
476	2622	2875
477	2626	2868
478	2630	2861
479	2636	2855
480	2641	2849
481	2645	2843
482	2651	2838
483	2656	2832
484	2660	2825
485	2665	2818
486	2670	2813
487	2675	2807
488	2679	2800
489	2686	2795
490	2692	2790
491	2696	2784
492	2702	2779
493	2708	2773
494	2712	2766
495	2717	2761
496	2722	2755
497	2727	2749
498	2732	2743
499	2737	2737
500	2741	2730
501	2746	2724
502	2751	2718
503	2756	2712
504	2761	2707
505	2769	2704
506	2774	2697
507	2778	2691
508	2782	2684
509	2788	2679
510	2792	2672
511	2798	2667
512	2803	2661
513	2807	2655
514	2815	2651
515	2821	2646
516	2825	2640
517	2832	2635
518	2837	2629
519	2841	2623
520	2847	2618
521	2853	2612
522	2857	2606
523	2863	2601
524	2869	2596
525	2873	2589
526	2879	2584
527	2883	2577
528	2887	2571
529	2892	2564
530	2896	2557
531	2901	2552
532	2907	2547
533	2916	2545
534	2922	2540
535	2931	2537
536	2937	2532
537	2942	2527
538	2947	2520
539	2951	2514
540	2955	2507
541	2961	2502
542	2967	2497
543	2971	2491
544	2977	2485
545	2982	2480
546	2987	2473
547	2992	2468
548	2997	2462
549	3002	2456
550	3007	2451
551	3012	2444
552	3016	2438
553	3020	2431
554	3025	2426
555	3031	2420
556	3035	2414
557	3040	2408
558	3045	2402
559	3050	2396
560	3057	2392
561	3063	2387
562	3071	2384
563	3080	2381
564	3085	2375
565	3094	2372
566	3100	2367
567	3107	2363
568	3114	2359
569	3120	2354
570	3126	2349
571	3132	2344
572	3139	2339
573	3145	2334
574	3150	2328
575	3161	2327
576	3172	2325
577	3179	2321
578	3186	2316
579	3193	2312
580	3199	2307
581	3206	2302
582	3212	2297
583	3219	2293
584	3227	2289
585	3236	2286
586	3247	2284
587	3255	2280
588	3262	2276
589	3269	2271
590	3276	2267
591	3283	2263
592	3289	2257
593	3295	2252
594	3302	2248
595	3311	2244
596	3318	2240
597	3327	2236
598	3335	2232
599	3341	2227
600	3348	2222
601	3360	2221
602	3369	2218
603	3376	2213
604	3382	2208
605	3388	2203
606	3394	2197
607	3401	2192
608	3407	2187
609	3413	2182
610	3419	2177
611	3425	2171
612	3432	2167
613	3441	2163
614	3447	2158
615	3454	2153
616	3460	2147
617	3466	2142
618	3473	2138
619	3480	2133
620	3489	2129
621	3495	2124
622	3502	2119
623	3508	2113
624	3513	2108
625	3517	2101
626	3523	2095
627	3527	2089
628	3532	2083
629	3537	2077
630	3542	2071
631	3551	2068
632	3556	2062
633	3562	2056
634	3570	2052
635	3576	2046
636	3580	2040
637	3585	2034
638	3590	2028
639	3596	2022
640	3601	2017
641	3605	2010
642	3611	2004
643	3621	2001
644	3631	1998
645	3639	1994
646	3649	1991
647	3655	1985
648	3660	1979
649	3664	1973
650	3668	1966
651	3672	1960
652	3684	1957
653	3691	1952
654	3700	1948
655	3705	1943
656	3712	1938
657	3719	1933
658	3724	1927
659	3728	1920
660	3732	1914
661	3736	1908
662	3744	1903
663	3748	1896
664	3752	1890
665	3758	1884
666	3763	1878
667	3768	1872
668	3773	1866
669	3777	1860
670	3781	1854
671	3785	1847
672	3791	1842
673	3796	1836
674	3801	1830
675	3805	1824
676	3813	1819
677	3818	1813
678	3824	1807
679	3830	1802
680	3834	1796
681	3840	1790
682	3844	1784
683	3849	1778
684	3854	1772
685	3858	1766
686	3864	1760
687	3868	1754
688	3873	1748
689	3878	1742
690	3882	1736
691	3888	1730
692	3893	1724
693	3897	1718
694	3902	1712
695	3907	1706
696	3912	1700
697	3915	1694
698	3921	1688
699	3926	1682
700	3930	1676
701	3937	1671
702	3945	1666
703	3949	1660
704	3956	1655
705	3960	1649
706	3964	1643
707	3969	1637
708	3974	1631
709	3979	1625
710	3984	1619
711	3989	1613
712	3994	1607
713	3998	1601
714	4003	1595
715	4008	1590
716	4012	1583
717	4018	1578
718	4024	1572
719	4028	1566
720	4033	1560
721	4038	1554
722	4042	1548
723	4047	1543
724	4052	1537
725	4056	1530
726	4060	1524
727	4065	1519
728	4071	1513
729	4075	1507
730	4080	1501
731	4084	1495
732	4089	1489
733	4093	1483
734	4098	1477
735	4103	1471
736	4107	1465
737	4112	1460
738	4117	1454
739	4122	1448
740	4126	1442
741	4132	1436
742	4137	1431
743	4141	1424
744	4146	1419
745	4151	1413
746	4156	1407
747	4160	1401
748	4165	1395
749	4170	1390
750	4175	1384
751	4183	1379
752	4189	1374
753	4195	1368
754	4201	1363
755	4208	1358
756	4216	1353
757	4221	1347
758	4225	1341
759	4231	1336
760	4235	1330
761	4239	1324
762	4246	1319
763	4251	1313
764	4255	1307
765	4261	1301
766	4266	1296
767	4270	1290
768	4275	1284
769	4280	1278
770	4285	1272
771	4289	1266
772	4296	1261
773	4301	1255
774	4305	1249
775	4312	1244
776	4318	1239
777	4322	1233
778	4329	1228
779	4334	1222
780	4341	1217
781	4349	1212
782	4354	1206
783	4360	1201
784	4365	1195
785	4369	1189
786	4374	1184
787	4384	1179
788	4390	1174
789	4395	1168
790	4399	1162
791	4404	1156
792	4411	1151
793	4416	1145
794	4420	1139
795	4427	1134
796	4431	1128
797	4436	1122
798	4442	1117
799	4447	1111
800	4451	1105
801	4456	1100
802	4462	1094
803	4466	1088
804	4472	1083
805	4477	1077
806	4482	1071
807	4488	1066
808	4492	1060
809	4497	1054
810	4501	1049
811	4506	1043
812	4511	1037
813	4515	1031
814	4520	1026
815	4525	1020
816	4530	1014
817	4536	1009
818	4542	1003
819	4546	998
820	4551	992
821	4559	987
822	4563	981
823	4569	975
824	4573	970
825	4577	964
826	4582	958
827	4593	954
828	4599	948
829	4606	943
830	4611	937
831	4615	932
832	4621	926
833	4625	920
834	4629	914
835	4634	909
836	4640	903
837	4644	897
838	4649	892
839	4654	886
840	4659	880
841	4663	875
842	4668	869
843	4674	863
844	4678	858
845	4686	853
846	4692	847
847	4697	842
848	4702	836
849	4706	830
850	4710	824
851	4716	819
852	4722	813
853	4726	808
854	4731	802
855	4738	797
856	4743	791
857	4748	785
858	4753	780
859	4758	774
860	4762	768
861	4767	763
862	4772	757
863	4776	751
864	4782	746
865	4787	740
866	4791	734
867	4796	729
868	4802	724
869	4806	718
870	4811	712
871	4816	707
872	4821	701
873	4825	695
874	4832	690
875	4836	684
876	4841	679
877	4849	673
878	4853	668
879	4857	662
880	4864	657
881	4868	651
882	4872	645
883	4878	640
884	4883	634
885	4887	628
886	4892	623
887	4897	617
888	4902	612
889	4906	606
890	4912	600
891	4916	595
892	4921	589
893	4926	584
894	4935	579
895	4943	573
896	4950	568
897	4956	562
898	4963	557
899	4969	552
900	4976	546
901	4983	541
902	4989	535
903	4996	530
904	5002	525
905	5009	519
906	5015	514
907	5021	508
908	5028	503
909	5034	497
910	5042	492
911	5053	487
912	5063	482
913	5069	476
914	5077	471
915	5083	466
916	5091	460
917	5098	455
918	5106	450
919	5114	444
920	5120	439
921	5128	433
922	5134	428
923	5141	422
924	5147	417
925	5155	411
926	5163	406
927	5169	401
928	5177	395
929	5183	390
930	5191	384
931	5197	379
932	5204	373
933	5211	368
934	5217	362
935	5225	357
936	5230	351
937	5237	346
938	5245	340
939	5249	335
940	5257	329
941	5262	324
942	5267	318
943	5271	312
944	5276	307
945	5280	301
946	5285	295
947	5293	290
948	5297	284
949	5303	279
950	5309	273
951	5313	267
952	5320	262
953	5325	256
954	5329	251
955	5337	245
956	5343	240
957	5349	234
958	5356	229
959	5370	223
960	5379	218
961	5389	212
962	5395	207
963	5402	201
964	5406	196
965	5410	190
966	5415	184
967	5421	179
968	5425	173
969	5429	167
970	5435	162
971	5440	156
972	5444	151
973	5452	145
974	5458	139
975	5466	134
976	5470	128
977	5474	123
978	5479	117
979	5484	111
980	5489	106
981	5493	100
982	5499	95
983	5504	89
984	5508	83
985	5515	78
986	5518	72
987	5523	67
988	5527	61
989	5532	55
990	5537	50
991	5541	44
992	5549	39
993	5554	33
994	5558	27
995	5564	22
996	5569	16
997	5573	11
998	5580	5
999	5585	0
